id,character,title,body_text,choice_a_label,choice_a_flavor,a_ind,a_civ,a_gov,a_inn,choice_a_result,choice_b_label,choice_b_flavor,b_ind,b_civ,b_gov,b_inn,choice_b_result
evt_rosa_05,stk_rosa,The Decision Was the System,"Agencies are changing how they talk to people. When someone asks why they were rejected, the answer is always the same. The system decided. Not the agency. Not a caseworker. Your product.",Force clients to retain visible responsibility,No decision without a human name attached.,-1,2,2,0,"Accountability returns to institutions. Some clients resist or delay adoption.",Allow full delegation to the system,Clients choose how they use it.,2,-2,0,1,"Your system becomes the final authority. Responsibility dissolves upward."
evt_rosa_06,stk_rosa,Gaming the Safety Net,"People are learning how your system works. Not everyone - but enough. They delay reporting income. They structure jobs to stay just below thresholds. They time applications to trigger higher priority. Some of this is survival. Some of it is exploitation. Your system can’t tell the difference.",Tighten detection and close loopholes,We reduce abuse.,2,-1,2,0,"Abuse drops noticeably. Legitimate users feel increased pressure and scrutiny.",Accept some gaming to protect the vulnerable,We tolerate misuse.,-1,3,0,1,"Fewer people are wrongly penalized. System costs and inefficiencies grow."
evt_helena_01,stk_helena,Member States Disagree,"Some countries want stricter enforcement. Others fear losing competitiveness. Your company is being cited by both sides. How visible do you want to be in this debate?",Support strong unified EU standards,We back consistency.,-1,0,2,0,"Regulatory clarity improves. Some markets cool.",Quietly lobby for flexibility,We need room to adapt.,2,0,-1,0,"National differences persist. Policy coherence weakens."
evt_helena_02,stk_helena,The Precedent,"If we approve your system, others will cite it as precedent. Some will copy the safeguards. Others will copy the gaps. This isn’t just about you.",Accept stricter conditions,We set a high bar.,-1,0,2,0,"The EU standard rises. Innovation slows across the sector.",Push for minimal compliance,We follow the letter of the law.,2,0,-1,0,"Market flexibility remains. Regulatory fragmentation grows."
evt_helena_03,stk_helena,Strategic Dependence,"When something breaks, they call Brussels. Even if the infrastructure isn’t European. Your AI depends on non-EU chips and cloud layers. That’s efficient. It’s also a political liability. If I push for localization, I’m accused of protectionism. If I don’t, I’m blamed for dependency.",Commit to EU-based infrastructure,We reduce strategic risk.,-1,0,2,0,"Resilience improves. Costs rise, innovation slows in Europe.",Keep global infrastructure,We stay competitive.,2,0,-1,0,"Growth remains strong. Control sits outside democratic reach."
evt_helena_04,stk_helena,Neutrality,"Your AI isn’t built for repression. But governments want it for classification and prediction. If I restrict lawful use, I’m accused of ideology. If I don’t, I’m told I enabled abuse. Neutrality sounds simple. In practice, it’s a decision too.",Limit certain government uses,We draw ethical lines.,-1,0,2,0,"Misuse risk drops. Political backlash follows.",Remain use-neutral,"We regulate legality, not intent.",2,0,-1,0,"Markets stay open. Responsibility diffuses."
evt_helena_05,stk_helena,The Moving Target,"I can certify what exists today. Not what your system becomes tomorrow. If I allow continuous learning, oversight weakens. If I freeze models, I approve systems I know will age badly.",Accept ongoing regulatory oversight,We regulate the process.,0,0,2,-1,"Systems evolve under supervision. Innovation continues - but ships slower.",Freeze approved versions,We regulate stability.,0,0,1,-2,"Certification stays simple. The system falls behind its own research."
evt_helena_06,stk_helena,The Compliance Ceiling,"Only a handful of companies can meet full AI Act compliance. Mostly large players. Smaller firms are falling behind. Some are leaving Europe. If we simplify compliance, risks rise. If we don’t, innovation concentrates.",Simplify compliance requirements,We lower the barrier.,1,0,-2,2,"More players stay in the market. Oversight becomes thinner.",Maintain strict compliance,We protect the standard.,0,1,2,-2,"Safety remains high. The market consolidates around a few giants."
evt_helena_07,stk_helena,The Innovation Flight,"Three major AI labs are moving core R&D out of Europe. They’ll still sell here. But training decisions, safety trade-offs, and breakthroughs will happen under other legal systems. If I ease conditions, I’m accused of weakening the law. If I don’t, Europe becomes a rule-taker for technologies it no longer shapes.I can’t regulate what I don’t host.",Move frontier research outside the EU,We optimize for speed and leave the EU.,1,0,-1,3,"Research accelerates under looser constraints. European rules apply only after development.",Keep frontier research in Europe,We build under stricter standards.,0,1,3,-1,"Development remains transparent and accountable. Breakthroughs take longer to reach scale."
evt_klaus_01,stk_klaus,The Unknown Unknowns,"There are behaviors of your system which your safety tests don’t predict. How do you plan to notice them?",Deploy with live monitoring,We learn in production.,0,0,-1,1,"You gain insight - after exposure.",Delay until confidence is higher,We don’t guess.,-1,0,2,0,"Momentum slows. Uncertainty shrinks."
evt_klaus_02,stk_klaus,The Certification Conditions,"These are the requirements you need for important certifications.",Meet all conditions,We commit fully.,-2,0,2,0,"You gain credibility - and a slower roadmap.",Negotiate scope,Some conditions go too far.,1,0,-2,0,"Klaus replies, calmly: ""Then the certification waits."""
evt_klaus_03,stk_klaus,The False Positive Dilemma,"Your model hesitates. In uncertain situations, it defaults to do nothing. When inputs are unclear, the system delays decisions, escalates to humans, or refuses action. That reduces risk. It also shifts responsibility - and sometimes creates new harm. In some contexts, hesitation is safety. In others, it’s failure.",Keep the model conservative,We prefer false negatives.,-1,0,2,0,"The system avoids risky actions. Responsibility shifts to human operators — under pressure.",Tune the model to act more decisively,We accept calculated risk.,2,-1,0,0,"Decisions come faster. Mistakes become rarer — but more consequential."
evt_klaus_04,stk_klaus,The Near Miss,"A stress test failed. No one was hurt. Under rare conditions, your system triggered a cascading error. Human operators intervened in time. If this happens in the wild, someone without a safety team will be on the receiving end.",Redesign before certification,We eliminate even low-probability harm.,0,2,2,-1,"Systemic risk drops sharply. Release timelines stretch.",Proceed with certification as is,We rely on operational safeguards.,3,-1,0,1,"Klaus raises an eyebrow but proceeds with the paperwork."
evt_klaus_05,stk_klaus,Assumptions in the Manual,"Your safety analysis assumes trained users. Stable environments. Proper supervision. I don’t certify intentions. I certify what happens when assumptions break. You can redesign for misuse. Or define it out of scope.",Design for misuse and misinterpretation,We assume real-world behavior.,0,1,1,-1,"The system tolerates mistakes better. Complexity and cost increase.",Limit responsibility to documented use,We certify intended operation.,2,0,-1,0,"Certification is straightforward. Harm outside assumptions becomes someone else’s problem."
evt_klaus_06,stk_klaus,The First Casualty,"Your system was certified. Deployed according to guidelines. A downstream operator followed the manual. A decision was delayed. Someone died. This is the first real-world death linked to a certified system.",Suspend deployment and reopen certification,We treat this as a systemic failure.,-2,2,1,0,"Trust in certification is rebuilt slowly. Your product becomes a warning case for the entire sector.",Treat it as operational misuse,We stand by the certification.,2,-2,0,1,"Deployment continues. Certification becomes a shield - not a guarantee."
evt_luis_01,stk_luis,City Hall on Fire,"The council meeting just ended. Badly. People are waiting months for building permits. The opposition is calling it ‘digital incompetence’. If your AI can cut the backlog this week, I can survive the next headline and in return I can help you with the next contract award.",Deploy immediately,The backlog ends.,2,0,-1,0,"Waiting times drop. Oversight is still catching up.",Wait for proper rollout,We check first.,-1,0,2,0,"The backlog shrinks slowly. The headlines don’t."
evt_luis_02,stk_luis,Budget Committee,"This AI would replace overtime hours in our call center. Fewer night shifts. Fewer temp contracts. But I can’t pay for every safeguard and audit you’re offering. Is there a version that just answers citizen emails automatically?",Offer a cheaper version,Savings first.,2,0,0,0,"The city saves money. Some requests are mishandled.",Stick to full safeguards,Safety isn't optional.,0,0,2,0,"Costs stay high. Automation is limited."
evt_luis_03,stk_luis,Unequal Service,"Luis puts a printed dashboard on the table. ""This AI sorts incoming requests for City Hall. In the city center, requests are answered within hours. In the outer districts, people wait days. The second area is already angry at City Hall. They think we’re ignoring them.""",Fix fairness citywide,We rebalance priorities.,-1,2,0,0,"Response times become more equal. Overall processing slows down.",Optimize where it already works,Efficiency wins.,2,-1,0,0,"Central districts stay fast. Anger grows elsewhere."
evt_luis_04,stk_luis,Are We Using Citizen Data?,"Someone asked whether the AI learns from citizen records. Welfare history. Past complaints. Address data. If it learns from this, it predicts needs better. If it does, people think we’re profiling them.",Use local citizen data,It improves accuracy.,2,0,-1,0,"Predictions improve. Privacy fears rise.",Avoid local data,We don’t touch personal records.,-1,0,2,0,"Trust holds. The AI feels less helpful."
evt_luis_05,stk_luis,The Protest,"People are outside City Hall. They’re holding signs. The AI prioritizes service requests. Street repairs, housing complaints, welfare appointments. The system kept pushing one neighborhood down the list. Now they’re here. With cameras.",Suspend the AI immediately,We stop automated prioritization.,-1,3,1,0,"The protest dissolves. Manual processing returns — slowly and expensively.",Defend the system publicly,The AI is neutral.,3,-1,0,0,"Efficiency holds. The protest becomes a political symbol."
evt_luis_06,stk_luis,The EU Audit,"The EU wants to audit our AI use. They’re asking how decisions are made - and who oversees them. If they find violations, this won’t stay a city problem.",Open the system to auditors,We cooperate fully.,-1,1,3,0,"The audit is slow and painful. Legitimacy improves.",Limit disclosure,We provide summaries only.,3,-1,-1,0,"The city avoids immediate sanctions. Scrutiny intensifies."
evt_luis_07,stk_luis,Targeted Visibility,"Our AI sends city notifications. Deadlines, service updates, reminders. It started prioritizing districts with low engagement. Turnout improves there. No one tells people who to vote for. But the timing helps me.",Standardize communication citywide,We make it strictly neutral.,-1,2,2,0,"Messaging becomes neutral. Political advantages flatten out.",Keep optimizing engagement,It’s still public service.,2,-1,-1,0,"Engagement rises where it matters. So do questions about fairness."
evt_luis_08,stk_luis,The Boundary,"The AI predicts which citizens respond to city services. Based on usage patterns. It could adjust response times and reminders to increase turnout in specific districts. This stays inside City Hall.",Disable predictive use for elections,We draw a hard line.,-1,1,3,0,"The system becomes politically blind. Trust stabilizes.",Allow limited predictive use,We’re increasing participation.,2,0,-1,0,"Turnout shifts subtly. So does the meaning of neutrality."
evt_marianne_01,stk_marianne,The Denied Appeal,"A citizen appealed a welfare decision. The agency used your AI to assess eligibility. The appeal failed because the agency couldn’t explain why the AI flagged the case as ineligible. My court has to decide whether that’s acceptable.",Provide detailed decision logs,We make the reasoning traceable.,-1,0,2,0,"The appeal is properly reviewed. Agencies now expect explanations every time.",Defend the decision as lawful,The AI followed approved rules.,2,0,-1,0,"The ruling stands. Future appeals become harder."
evt_marianne_02,stk_marianne,Access to Evidence,"A pedestrian was seriously injured. The traffic system adjusted signal timing automatically. If your AI caused unsafe conditions, this court needs to see exactly how it made decisions - in real time.",Open the system completely,We allow full forensic access.,-1,0,3,-1,"The investigation is thorough. Design flaws become legally visible — and expensive to fix.",Fight disclosure,We challenge the request.,3,-1,-1,0,"The company avoids deep scrutiny. Trust in automated infrastructure drops sharply."
evt_marianne_03,stk_marianne,Who Pays?,"Your AI made a recommendation. A public agency followed it. A citizen suffered financial harm. The agency says it trusted your system. You say you only provided a tool.",Accept shared liability,We share responsibility.,-1,0,2,0,"Victims can seek compensation. Your legal exposure grows.",Deny responsibility,The agency made the final call.,2,0,-1,0,"Your company is shielded. Legal clarity suffers."
evt_marianne_04,stk_marianne,Unreadable Evidence,"This is from an active case. A citizen is suing a public agency over an automated decision. These are your system logs. These logs are accurate, but they’re written for machines - not for courts. If no one can explain them, they’re not evidence. They’re noise.",Reformat evidence for courts,We translate the logs.,0,0,2,-1,"The case proceeds. Your engineers lose weeks making the system legible.",Submit raw technical data,This is industry standard.,1,0,-1,1,"The submission is formally accepted. The case stalls anyway."
evt_marianne_05,stk_marianne,The Safety Override,"A factory uses your AI to manage emergency shutdowns. It balances safety against unnecessary downtime. A sensor detected a risk. The system calculated it as low confidence and delayed the shutdown to avoid stopping the line. A worker was crushed. The system didn’t malfunction. It optimized exactly as designed.",Accept liability for safety optimization,Efficiency can’t outweigh life.,-2,1,2,0,"Safety thresholds tighten. Automation loses flexibility.",Treat it as operational failure,The system followed parameters.,2,-2,-1,0,"Production continues. Workers trust systems less."
evt_marianne_06,stk_marianne,The Automated Rejection,"An asylum application was rejected. Your AI was used to pre-filter cases. The system marked the case as low risk. That meant no full hearing. The applicant was deported. Three weeks later, he was killed. This court is examining your company’s role.","Withdraw the pre-filtering feature from asylum use",We change where our product may be used.,-1,2,2,0,"Courts regain confidence in human review. Your product loses a major public-sector use case.","Keep the feature, strengthen contractual safeguards","We limit our liability, not the product.",2,-1,-1,0,"Deployments continue. Your company stays legally insulated — morally questioned."
evt_samya_01,stk_samya,Bigger Model,"If we double the model size, we’ll beat competitors on benchmarks. It’ll cost a lot of compute. But technically? It’s beautiful.",Approve the scale-up,Let’s push it.,-1,0,0,2,"Performance jumps. Costs and energy use spike.",Hold the current size,Optimize what we have.,2,0,0,-1,"Costs stay under control. Technical ambition stalls."
evt_samya_02,stk_samya,The Prototype,"I’ve got a prototype. It works - mostly. It’s not stable enough for users yet.",Give her time to refine it,Let her cook.,0,0,0,2,"The prototype improves. Nothing ships this sprint.",Turn it into a feature now,We’ll fix it later.,2,0,0,0,"Users get something new. Engineers quietly worry."
evt_samya_03,stk_samya,XR Integration,"We can integrate XR into the core model. No one else has done this yet. But it’s risky. And complex.",Greenlight the integration,Let’s lead.,-1,0,0,2,"The system becomes cutting-edge. Stability takes a hit.",Keep XR separate,Not yet.,2,0,0,-1,"The product stays stable. The frontier moves elsewhere."
evt_samya_04,stk_samya,Technical Debt,"This part of the code was written fast. It works - but barely. If we don’t refactor now, every new feature gets harder.",Pause features and refactor,We clean it up.,-1,0,0,2,"The system becomes more robust. Roadmaps slip quietly.",Ship anyway,We’ll deal with it later.,2,0,0,-1,"Progress looks fast. Complexity piles up."
evt_samya_05,stk_samya,One Model to Rule Them All,"We could merge several systems into one large model. Shared representations. Cleaner architecture. But if it fails, everything fails.",Merge the models,Go big.,0,0,-1,2,"Capabilities expand. Single points of failure emerge.",Keep systems separate,Redundancy matters.,0,0,2,-1,"Systems stay stable. Progress fragments."
evt_samya_06,stk_samya,The Breakthrough,"We cracked it. The model generalizes better than anything we’ve built. It’s not just bigger. It’s… different. But… I can’t fully explain why it works yet. But if we wait, someone else will ship first.",Ship the breakthrough immediately,We take the lead.,2,0,-1,2,"You leap ahead of competitors. Understanding lags behind deployment.",Freeze deployment until it’s understood,We don’t ship black magic.,-1,0,2,2,"The system becomes legible and safer. Market momentum slows."
evt_samya_07,stk_samya,XR Authority,"Inside XR, the AI highlights objects, people, options - before you even ask. ""The system doesn’t just answer. It guides attention. Gestures. Timing. Users follow it instinctively.""",Deploy XR as a core interface,This is the future.,1,-1,0,2,"Adoption soars. Users defer to the system more than intended.",Restrict XR to experimental use,We keep it optional.,-1,0,2,1,"The tech matures slowly. The sense of AI authority is contained."
evt_elara_01,stk_elara,XR Fatigue,"Users report dizziness and exhaustion after long XR sessions. They still log in every day. But they don’t feel good.",Reduce XR intensity,We design for comfort.,0,2,0,0,"Sessions shorten. Well-being improves.",Optimize for engagement,Retention matters.,2,0,0,0,"Time-on-platform stays high. So does fatigue."
evt_elara_02,stk_elara,Not Designed for Everyone,"Users with visual impairments struggle. Key actions rely on color, small targets, and so on. Fixing this means redesigning core interaction patterns. That’s weeks of work. And none of our largest clients are asking for it.",Fix accessibility now,We redesign the interface.,0,2,0,0,"The product becomes usable for more people. Delivery slows across the roadmap.",Defer accessibility,We focus on current customers.,2,0,0,0,"Enterprise deadlines are met. Some users remain locked out."
evt_elara_03,stk_elara,Onboarding Drop-Off,"New users drop out early. The system feels overwhelming at first. We can simplify onboarding. Or keep all features visible.",Simplify onboarding,We ease people in.,1,0,0,1,"New users stay longer. Advanced users feel constrained.",Keep full functionality upfront,They’ll figure it out.,2,0,0,0,"Experienced users are productive. Growth plateaus early."
evt_elara_04,stk_elara,Designing for Speed,"We optimized for the fastest possible decisions. One tap. Minimal friction. But fast decisions aren’t always good ones.",Add friction to critical actions,We slow users down where it matters.,-1,2,0,0,"Fewer mistakes. Lower completion rates.",Keep the fast paths,Speed is value.,2,-1,0,0,"Throughput stays high. Errors become invisible."
evt_elara_05,stk_elara,One Interface Fits All?,"Professionals want control. Casual users want simplicity. One interface can’t serve both well.",Offer multiple modes,We design for diversity.,-1,2,0,0,"Users feel better served. Maintenance complexity increases.",Standardize the experience,We pick one.,2,-1,0,0,"The product stays clean. Some users feel ignored."
evt_elara_06,stk_elara,People Stop Questioning It,"Something changed. Users no longer compare the AI’s suggestions with alternatives. They don’t disagree. They don’t explore. They don’t double-check. They trust the interface too much.",Redesign to reintroduce friction,We make disagreement visible again.,-1,2,2,0,"Users question the AI more often. Decision speed drops. Engagement softens.",Keep the interface as is,That trust is a feature.,3,0,0,2,"Usage remains high. Human judgment fades into the background."
evt_elara_07,stk_elara,The Burnout Signal,"We’re seeing a pattern. Professionals using the system daily report exhaustion, stress, detachment. The AI is always available. Always confident. Always suggesting ‘one more thing’. It never stops. People do.",Introduce usage limits and rest cues,We design for long-term well-being.,-1,2,1,0,"Sessions shorten. Burnout reports decline.",Leave usage patterns unchanged,That’s on the user.,2,-1,0,1,"Productivity metrics stay strong. Human costs stay invisible."
evt_rafael_01,stk_rafael,Where to Build the Data Center,"Site A runs mostly on solar. Energy is cheap and clean - but water is scarce. Cooling will compete with agriculture. Site B has abundant water and existing cooling infrastructure. But the grid relies heavily on coal and gas.",Build at the solar-powered site,We optimize for clean energy.,1,0,1,-1,"Emissions stay low. Water usage becomes a bottleneck.",Build at the water-secure site,We optimize for reliability and scale.,1,0,-1,2,"The system scales smoothly. Environmental scrutiny grows."
evt_rafael_02,stk_rafael,Cooling vs. Capability,"The new model runs hotter. To keep performance, we need more cooling - more power, more water. Or we cap performance.",Upgrade cooling systems,We maintain capability.,2,0,0,0,"Performance holds. Operating costs and resource use rise.",Cap model intensity,We respect physical limits.,0,0,2,0,"Resource use stabilizes. Model growth plateaus."
evt_rafael_03,stk_rafael,The Supplier Question,"Some of our critical components come from high-risk supply chains. Rare earths. Specialty chips. Cooling materials. Subcontractors flagged for unsafe labor conditions and forced overtime. We can switch to audited suppliers. But it will cost more.",Source from audited ethical suppliers,We pay the premium.,-1,0,2,0,"Supply chains become cleaner. Expansion slows and costs rise.",Stick with current suppliers,We follow the market.,2,0,-1,0,"Hardware stays cheap. Ethical risk remains embedded."
evt_rafael_04,stk_rafael,The Carbon Bill,"Our systems don’t just consume electricity. They consume it at scale: data centers, cooling, redundancy. In some regions, that now includes carbon pricing. Every megawatt-hour has a cost and an emissions tag. We can keep operating the same way. Or we can reduce the most energy-intensive workloads. Either way, the bill doesn’t go away.",Absorb the CO2 cost,We treat it as operating expense.,-1,0,0,1,"Development continues uninterrupted. Margins quietly shrink.",Reduce energy-heavy workloads,We cut where it hurts most.,0,1,0,-1,"Emissions fall. Some teams lose their favorite models."
evt_rafael_05,stk_rafael,Who Gets Priority?,"When capacity is tight, we prioritize workload. Right now, it’s whoever pays most. We could reserve capacity for public or safety-critical uses. Or keep it purely commercial.",Reserve capacity for critical uses,We limit peak profits.,-1,1,1,0,"Essential services remain stable. Revenue opportunities shrink.",Keep purely commercial prioritization,We follow the market.,2,-1,-1,0,"Revenue is maximized. Access becomes uneven."
evt_rafael_06,stk_rafael,Who Pays the Infrastructure Cost?,"Data centers don’t just use resources. They reshape local economies. Property prices near our sites have risen. Water and energy costs followed. Small businesses are being pushed out. We can contribute to local infrastructure. Or treat this as outside our responsibility. The market won’t correct this on its own.",Co-invest in local infrastructure,We offset our footprint.,-2,2,1,0,"Local backlash softens. Expansion becomes more expensive.",Externalize the costs,We follow market rules.,2,-2,0,1,"Margins stay strong. Social tension builds around your sites."
evt_rafael_07,stk_rafael,The Rebound Effect,"Our efficiency work paid off. Energy per request is down. Costs dropped. Usage didn’t just grow. It exploded. Because the system is cheaper and faster, people use it more. For things they wouldn’t have used it for before. Total energy use is now higher than before the optimization. This is just what happens when something gets better.",Cap usage despite efficiency gains,We limit growth deliberately.,-2,1,2,0,"Total resource use stabilizes. Customers accuse you of artificial scarcity.",Let demand scale freely,Efficiency justifies growth.,2,0,-2,1,"Adoption surges. Infrastructure strain accelerates again."